 clinicName,Location,OpeningHours,Age,Contact
1 MEDICAL TECK GHEE,Blk 410 Ang Mo Kio Avenue 10 #01-837 Teck Ghee Square  S(560410),Mon-Sunday 7am-1pm Mon-Sunday 6pm-11pm,From 0 and Up,93552188
338 FAMILY CLINIC,Blk 338 Ang Mo Kio Ave 1 #01-1615  S(560338),Mon - Thurs: 10am - 1pm Sat: 10am - 12pm,From 7 and Up,64549408
"57 MEDICAL CLINIC (GEYLANG
BAHRU) ",Blk 57 Geylang Bahru #01-3505  S(330057),"Mon, Wed, Thur: 08.00am to 01.00pm, 06.00pm to
09.00pm. Tue: 08.00am to 01.00pm Sat: 08.00am to
01.00pm Sun: 09.00am to 12.00pm",From 0 and Up,66947078
A MEDICAL CLINIC,Blk 1 Everton Park #01-27 Everton Park  S(081001),"Monday to Thursday: 8am-2pm, 630pm-1030pm , Friday: 8am-2pm , Saturday: 8am - 2pm   , Sunday: 8am-2pm , Public Holidays: 8am-2pm",From 7 and Up,62262066
ACACIA MEDICAL CLINIC,"180 Depot Road #01-07 Interlace, The S(109684)",Mon - Sat: 12 - 1pm,From 0 and Up,66840274
ACMS MEDICAL CLINIC,"1 Grange Road #06-06 Orchard Building   , S(239693)","Public Holiday :  Closed   ,  Monday to Saturday : 09:00 am to 12:30 pm, 02:00 pm to 04:30 pm",From 7 and Up,62625052
ACUMED MEDICAL GROUP,1 Joo Koon Circle #01-23 Fairprice Hub  S(629117) ,"Mon – Fri: 9.00am – 1.00pm , 2.00-6.00pm   , Sat: 9.00am – 1.00pm   , Mon – Fri: 8.30am – 1.00pm   , Mon-Fri: 8.30am – 1.00pm , 5.30pm – 8.30pm   , Sat: 8.30am – 1.00pm   , Mon-Fri:1.00am – 12.00noon 2.00pm – 3.00pm   , Mon – Fri: 8.30am – 1.00pm   , Mon – Fri: 830am – 5.00pm  Sat: 8.30am – 1.00pm   , Mon – Fri: 8.30am , 2.00pm – 5.00pm , 6.00pm – 9.00pm   , Sat: 8.30am – 1.00pm , 2.00pm-4.00pm   , Sun/PH: 9.00am – 12.00noon , Mon – Fri: 8.30am – 1.00pm , 2.00pm – 5.00pm   , Sat: 8.30am – 1.00pm   , Mon – Fri:8.30am – 9.00pm , Sat: 8.30am – 1.00pm   , Sun/PH: 9.00am – 1.00pm   , Mon – Fri: 8.30am – 5.00pm , Sat: 8.30am – 1.00pm   , Sun/PH: Closed , Mon – Fri: 8.30am – 1pm , 1.30pm – 5pm , 5.30pm – 9.00pm , Sat: 6.00pm – 9pm   , Sun / PH: 9.00am – 1.00pm , Mon – Fri: 8.30am - 1pm   , 2pm to 5 pm , Sat: 8.30am – 1pm , Sun/PH: Closed  ",From 13 and Up ,68615755
ACUMED MEDICAL GROUP,"128 Tuas South Avenue 3 #01-03 Jtc Biomed
One @ Tuas Biomedical Park S(637370) ",Mon – Fri: 8.30am – 1.00pm,"From 13
and Up",65701390
ACUMED MEDICAL GROUP,Blk 215C Compassvale Drive #01-02 S(543215),"Mon-Fri: 8.30am – 1.00pm
5.30pm – 8.30pm
Sat: 8.30am – 1.00pm ","From 13
and Up",63850113
ACUMED MEDICAL GROUP,"14 Tuas Avenue 1 #01-05 Jtc Space @ Tuas
S(639499)","Mon-Fri:1.00am – 12.00noon
2.00pm – 3.00pm ","From 13
and Up",65639363
ACUMED MEDICAL GROUP,"24 Raffles Place #02-05 Clifford Centre
S(048621)",Mon – Fri: 8.30am – 1.00pm,"From 13
and Up",65327766
ACUMED MEDICAL GROUP,"1 Jurong West Central 2 #B1A-19E Jurong Point
Shopping Centre Jp1 S(648886)","Mon – Fri: 830am – 5.00pm
Sat: 8.30am – 1.00pm ","From 13
and Up",67923822
ACUMED MEDICAL GROUP,"Blk 38 Teban Gardens Road #01-318/319
S(600038)","Mon – Fri: 8.30am
2.00pm – 5.00pm
6.00pm – 9.00pm
Sat: 8.30am – 1.00pm
2.00pm-4.00pm
Sun/PH: 9.00am – 12.00noon","From 13
and Up",65619366
ACUMED MEDICAL GROUP,"Blk 111 Woodlands Street 13 #01-78
S(730111)","Mon – Fri: 8.30am – 1.00pm
2.00pm – 5.00pm
Sat: 8.30am – 1.00pm","From 13
and Up",63627789
ACUMED MEDICAL GROUP,"Blk 64 Yung Kuang Road #01-107/111
S(610064)","Mon – Fri:8.30am – 9.00pm
Sat: 8.30am – 1.00pm
Sun/PH: 9.00am – 1.00pm ","From 13
and Up",62656422
ACUMED MEDICAL GROUP,"71 Pioneer Road #01-06 Tuas Amenity Centre
S(639591)","Mon – Fri: 8.30am – 5.00pm
Sat: 8.30am – 1.00pm
Sun/PH: Closed","From 13
and Up",68615996
ACUMED MEDICAL GROUP,"301 Boon Lay Way #01-18/19 Boon Lay Mrt
Station S(649846)","Mon – Fri: 8.30am – 1pm
1.30pm – 5pm
5.30pm – 9.00pm
Sat: 6.00pm – 9pm
Sun / PH: 9.00am – 1.00pm","From 13
and Up",65159919
ACUMED MEDICAL GROUP,"Blk 214 Bedok North Street 1 #01-165
S(460214)","Mon – Fri: 8.30am - 1pm
2pm to 5 pm
Sat: 8.30am – 1pm
Sun/PH: Closed ","From 13
and Up",64438077
ADMIRALTY FAMILY MEDICAL,BLK 693 WOODLANDS AVENUE 6 #01-08  S(730693),"TUESDAY & THURSDAY 0830-1200hrs & 1400-1600hrs
Not available on Eve of Public Holidays & Public
Holidays",From 13 and Up,69048894
AE MEDICAL CLINIC,Blk 467B Fernvale Link #01-529  S(792467),"Mon, Thurs, Fri: , 6 to 10pm ,   , Tues: , 8am to 12pm ,   , Sun: , 8.30am to 12.30pm",From 0 and Up,68162900
ALEXANDRA FAMILY CLINIC & SURGERY,Blk 57 Dawson Road #02-02  S(142057),MON - FRI: 11.30AM TO 2.30PM,From 9 and Up,64797022
AMDA INTERNATIONAL PEACE,9 Taman Serasi #01-11 Botanic Gardens View  ,Mon-Fri 9am-12.30pm 2-6.30pm,From 0 and Up,66941661
American International Clinic Pte Ltd,"10 SINARAN DRIVE #10-09/10 NOVENA , MEDICAL CENTER  S(307506)",Monday through Friday 9 am to 5 pm Saturday 9 am to 1 pm,From 13 and Up,63977129
ANTEH DISPENSARY PTE LTD,"1 Lorong 22 Geylang #01-02 Grandview Suites   , S(398664)","Mon-Fri 9am-12, 2pm-5pm, 7pm-11pm;   , Sat 9am-12pm, 1pm-6pm, 7pm-11pm;   , Sun & PH 1pm-6pm, 7pm-11pm",From 7 and Up,67441809
