clinicName,Location,OpeningHours,Age,Contact
1 MEDICAL TECK GHEE,BLK 410 ANG MO KIO AVENUE 10 #01-837 TECK GHEE SQUARE  S(560410),MONDAY-SUNDAY:7AM-1PM\nMONDAY-SUNDAY6PM-11PM\n,From0andUp,93552188
338 FAMILY CLINIC,BLK 338 ANG MO KIO AVE 1 #01-1615  S(560338),MONDAY-THURSDAY:10AM-1PM\nSATURDAY:10AM-12PM\n,From7andUp,64549408
"57 MEDICAL CLINIC GEYLANG
BAHRU ",BLK 57 GEYLANG BAHRU #01-3505  S(330057),"MONDAY,WEDNESDAY,THURSDAY:08:00AM-01:00PM\n06:00PM-09:00PM\nTUESDAY:08:00AM-01:00PM\nSATURDAY:08:00AM-01:00PM\nSUNDAY:9AM-12:00PM\n",From0andUp,66947078
A MEDICAL CLINIC,BLK 1 EVERTON PARK #01-27 EVERTON PARK  S(081001),MONDAY-THURSDAY:8AM-2PM\n630PM-1030PM\nFRIDAY:8AM-2PM\nSATURDAY:8AM-2PM\nSUNDAY:8AM-2PM\nPUBLICHOLIDAYS:8AM-2PM\n,From7andUp,62262066
ACACIA MEDICAL CLINIC,"180 DEPOT ROAD #01-07 INTERLACE, THE S(109684)",MONDAY-SATURDAY:12-1PM\n,From0andUp,66840274
ACMS MEDICAL CLINIC,"1 GRANGE ROAD #06-06 ORCHARD BUILDING   , S(239693)",PUBLICHOLIDAY:CLOSED\nMONDAY-SATURDAY:09:00AM-12:30PM\n02:00PM-04:30PM\n,From7andUp,62625052
ACUMED MEDICAL GROUP,1 JOO KOON CIRCLE #01-23 FAIRPRICE HUB  S(629117),MONDAY-FRIDAY:9:00AM-1:00PM\n2:00-6:00PM\nSATURDAY:9:00AM-1:00PM\n,From13andUp,68615755
ACUMED MEDICAL GROUP,"128 TUAS SOUTH AVENUE 3 #01-03 JTC BIOMED
ONE @ TUAS BIOMEDICAL PARK S(637370) ",MONDAY-FRIDAY:8:30AM-1:00PM\n,"From13
andUp",65701390
ACUMED MEDICAL GROUP,BLK 215C COMPASSVALE DRIVE #01-02 S(543215),MONDAY-FRIDAY:8:30AM-1:00PM\n5:30PM-8:30PM\nSATURDAY:8:30AM-1:00PM\n,"From13
andUp",63850113
ACUMED MEDICAL GROUP,"14 TUAS AVENUE 1 #01-05 JTC SPACE @ TUAS
S(639499)",MONDAY-FRIDAY:1:00AM-12:00PM\n2:00PM-3:00PM\n,"From13
andUp",65639363
ACUMED MEDICAL GROUP,"24 RAFFLES PLACE #02-05 CLIFFORD CENTRE
S(048621)",MONDAY-FRIDAY:8:30AM-1:00PM\n,"From13
andUp",65327766
ACUMED MEDICAL GROUP,"1 JURONG WEST CENTRAL 2 #B1A-19E JURONG POINT
SHOPPING CENTRE JP1 S(648886)",MONDAY-FRIDAY:830AM-5:00PM\nSATURDAY:8:30AM-1:00PM\n,"From13
andUp",67923822
