ISO,quarantine _1,quarantine _2,quarantine _3,quarantine _4,quarantine _5,quarantine _6,quarantine _7,quarantine - Split 9,covidTest_1,covidTest_2,covidTest_3,covidTest_4,covidTest_5,covidTest_6,covidTest_7,covidTest_8,covidTest_9,covidTest_10,covidTest_11,covidTest_12,
AFG,No declared requirement,There are currently no compulsory quarantine requirements or temperature checks at the airports,COVID-19 negative certification required for entering the country,The IATA now states that a negative pre-departure COVID-19 PCR test result is required for entering Afghanistan,,,,,COVID-19 negative certification required for entering the country,The IATA now states that a negative pre-departure COVID-19 PCR test result is required for entering Afghanistan,,,,,,,,,,,
ALB,Self Isolation- subject to origin,Incoming travelers from Greece and North Macedonia are required to undergo a mandatory quarantine for 14 days,All travellers enering Kosovo from Albania will be required to self-isolate for 14 days,If you are a foreign national travelling from Albania and transiting Kosovo you will be asked to sign a declaration and you should leave the country within 3 hours from entering it,"If you are a foreign national travelling to North Macedonia from Albania, there is no requirement to self-isolate or provide a PCR test upon entry to North Macedonia",,,,COVID-19 negative certification not required    not known,"A negative RT-PCR test less than 72 hours old is required for all foreign nationals entering Kosovo from countries with a high number of COVID-19 cases, marked as red or orange (more than 60 cases per 100,000) on the official ECDC map",,,,,,,,,,,
DZA,Quarantine requirement at government designated site or own accomodation,Check with the Algerian authorities for any entry requirements including quarantine requirements,"Previous quarantine requirements were a compulsory 14-day stay at a state facility, or own accommodation (if diplomatic), or company accommodation (if authorised by the Prime Minister)",Diplomatic personnel entering or leaving Algeria are required to present a negative PCR test carried out 72h prior to arrival; and the observation of a period of self-isolation at home for a period subject to the rule of reciprocity (number of days is not mentioned),,,,,COVID-19 negative certification required for entering the country,You should check with the Algerian authorities for any entry requirements including COVID testing,Previous requirements included evidence of a negative PCR test from no more than 72 hours prior to arrival,Temperature checks may be undertaken on arrival,Diplomatic personnel entering or leaving Algeria are required to present a negative PCR test carried out 72h prior to arrival,,,,,,,,
ASM,Quarantine Requirement outside territory,"Citizens holding a non-US passport will be required to quarantine for 14 days in Hawaii, Tonga, or Samoa (Apia) before entering the territory",,,,,,,COVID-19 negative certification required for entering the country,,,,,,,,,,,,
AND,Home isolation is required until COVID test results are received,,,,,,,,COVID-19 negative certification required for entering the country,Those looking to travel to Andorra must obtain a negative PCR or TMA test with result performed within a maximum of 48 hours before departure,,,,,,,,,,,
AGO,Quarantine requirement at government designated site,All air passengers arriving in Angola will need to undertake compulsory self-quarantine for at least 10 days once tested for COVID-19 on arrival,"If you test negative, returning residents can quarantine in their own homes",Non-resident essential workers have to quarantine in a government or government-approved facility,,,,,COVID-19 negative certification required for entering the country,"From 16 January, all air passengers are required to undergo a rapid COVID-19 test immediately on disembarking the plane",All passengers are required to show evidence of a negative COVID-19 test completed 72 hours before entry to Angola and to undergo a rapid COVID-19 test immediately on disembarking the plane,,,,,,,,,,
AIA,Quarantine at government designated site or Government approved self-quarantine facility,"With effect 12 April people applying to enter Anguilla either as an individual or with other persons all who must produce evidence that they have been fully vaccinated against COVID-19 and received their final dose 21 days before arrival, will be required to quarantine for 7 days on arrival",A negative COVID-19 test will be required before a person can leave quarantine,,,,,,COVID-19 negative certification required for entering the country,You must provide evidence of a negative COVID-19 test taken 3 ‚Äì 5 days before the planned date of your arrival,,,,,,,,,,,
ATG,Quarantine requirement at government designated site- subject to official discretion,<br All arrivals will be monitored for coronavirus for up to 14 days and that ultimately it is the decision of the Quarantine Authority on who must self-isolate or quarantine on arrival,"In practice, tourists arriving with pre-booked hotel accommodation from the Government of Antigua and Barbuda.  Approved List will normally be permitted to travel to their accommodation after screening (including COVID tests) and be allowed to move around the country providing they adhere to local social distancing measures",This is regardless of their vaccination status,,,,,COVID-19 negative certification required for entering the country,"All passengers 12 years and older arriving by air in Antigua and Barbuda, including those transiting the country, must provide evidence of a negative COVID-19 RT-PCR test",Up to and including 31 May this must be taken no more than seven days before arrival,From 1 June the test must be taken no more than 72 hours before arrival,,,,,,,,,
ARG,Self-isolation at own accommodation- subject to testing,All travellers to Argentina must take a COVID-19 test on arrival,If the test is negative you must self-isolate for 7 days in the place you‚ you are staying,You will have to take a further test on the 7th day of your self-isolation,You must pay for all tests,If the test is positive you will have to take a second test to determine the strain you are carrying and you and your close contacts will have to enter managed isolation,You will have to pay for all tests as well as for your stay at the managed quarantine facility,,COVID-19 negative certification required for entering the country,"All travellers to Argentina (children under 6 are exempted) must present a negative COVID-19 PCR test taken within 72 hours of travelling, unless you are: a crew member, transiting the country through an international airport for less than 24 hours; or have had coronavirus confirmed by a lab test within 90 days of your trip",,,,,,,,,,,
KIR,Quarantine requirement outside territory,"Travelers from countries with ongoing local transmission of novel coronavirus to spend at least 14 days in a country free of the virus before traveling to Kiribati, and to provide a medical clearance to confirm that they are virus-free",,,,,,,"COVID-19 negative certification required for entering the country Travelers ‚ from countries with ongoing local transmission of novel coronavirus‚Äù to spend at least 14 days in a country free of the virus before traveling to Kiribati, and to provide a medical clearance to confirm that they are virus-free",,,,,,,,,,,,
ARM,Self-isolation at own accommodation,Arrivals are subject to self-isolation and or testing requirements,"For UN staff: the individual who enters the territory of Armenia and show documents confirming a 72-hour negative COVID-19 test certificate, will be exempted from self-isolation, if upon examination no symptoms are revealed",,,,,,COVID-19 negative certification required for entering the country,You can now enter Armenia with a negative PCR test certificate issued a maximum of 72 hours prior to arrival,"If you arrive without a certificate, and have no symptoms, you can pay for a PCR test at Zvartnots airport or the land border crossing from Georgia",You must then isolate until you receive a negative result,,,,,,,,,
